,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode
187,Gajapati,Odisha,21,20,389
188,Ganderbal,Jammu & Kashmir,1,11,11
189,Gandhinagar,Gujarat,24,6,473
190,Ganganagar,Rajasthan,8,1,99
191,Ganjam,Odisha,21,19,388
192,Gadchiroli,Maharashtra,27,12,508
193,Garhwa,Jharkhand,20,1,346
194,Pauri Garhwal,Uttarakhand,5,6,61
195,Gautam Buddha Nagar,Uttar Pradesh,9,10,141
196,Gaya,Bihar,10,34,236
197,Ghaziabad,Uttar Pradesh,9,9,140
198,Ghazipur,Uttar Pradesh,9,64,195
199,Giridih,Jharkhand,20,4,349
200,Goalpara,Assam,18,3,302
201,Godda,Jharkhand,20,6,351
202,Golaghat,Assam,18,14,313
203,Gonda,Uttar Pradesh,9,52,183
204,Gondia,Maharashtra,27,11,507
205,Gopalganj,Bihar,10,15,217
206,Gorakhpur,Uttar Pradesh,9,57,188
207,Kalaburagi,Karnataka,29,25,579
208,Gumla,Jharkhand,20,21,366
209,Guna,Madhya Pradesh,23,41,458
210,Guntur,Andhra Pradesh,28,17,548
211,Gurdaspur,Punjab,3,1,35
212,Gurugram,Haryana,6,18,86
213,Gwalior,Madhya Pradesh,23,4,421
214,Hailakandi,Assam,18,19,318
215,Hamirpur,Himachal Pradesh,2,6,28
216,Hamirpur,Uttar Pradesh,9,37,168
217,Hanumangarh,Rajasthan,8,2,100
218,Howrah,West Bengal,19,15,341
219,Harda,Madhya Pradesh,23,31,448
220,Hardoi,Uttar Pradesh,9,24,155
221,Haridwar,Uttarakhand,5,13,68
222,Hassan,Karnataka,29,20,574
223,Hathras,Uttar Pradesh,9,13,144
224,Haveri,Karnataka,29,10,564
225,Hazaribagh,Jharkhand,20,15,360
226,Hingoli,Maharashtra,27,16,512
227,Hisar,Haryana,6,12,80
228,Hoshangabad,Madhya Pradesh,23,32,449
229,Hoshiarpur,Punjab,3,4,38
230,Hooghly,West Bengal,19,12,338
231,Hyderabad,Andhra Pradesh,28,5,536
232,Idukki,Kerala,32,9,596
233,Imphal East,Manipur,14,7,278
234,Imphal West,Manipur,14,6,277
235,Indore,Madhya Pradesh,23,22,439
236,Jabalpur,Madhya Pradesh,23,34,451
237,Jagatsinghpur,Odisha,21,11,380
238,West Jaintia Hills,Meghalaya,17,7,299
239,Jaipur,Rajasthan,8,12,110
240,Jaisalmer,Rajasthan,8,16,114
241,Jajpur,Odisha,21,13,382
242,Jalandhar,Punjab,3,3,37
243,Jalaun,Uttar Pradesh,9,34,165
244,Jalgaon,Maharashtra,27,3,499
245,Jalna,Maharashtra,27,18,514
246,Jalore,Rajasthan,8,18,116
247,Jalpaiguri,West Bengal,19,2,328
248,Jammu,Jammu & Kashmir,1,21,21
249,Jamnagar,Gujarat,24,10,477
250,Jamtara,Jharkhand,20,18,363
251,Jamui,Bihar,10,36,238
252,Janjgir Champa,Chhattisgarh,22,6,405
253,Jashpur,Chhattisgarh,22,3,402
254,Jaunpur,Uttar Pradesh,9,63,194
255,Jhabua,Madhya Pradesh,23,47,464
256,Jhajjar,Haryana,6,15,83
257,Jhalawar,Rajasthan,8,31,129
258,Jhansi,Uttar Pradesh,9,35,166
259,Jharsuguda,Odisha,21,2,371
260,Jhunjhunu,Rajasthan,8,5,103
261,Jodhpur,Rajasthan,8,15,113
262,Jorhat,Assam,18,13,312
263,Junagadh,Gujarat,24,12,479
264,Amroha,Uttar Pradesh,9,6,137
265,Kutch,Gujarat,24,1,468
266,Kaimur,Bihar,10,31,233
267,Kaithal,Haryana,6,5,73
268,Kalahandi,Odisha,21,26,395
269,Kamrup,Assam,18,22,321
270,Kamrup Metropolitan,Assam,18,23,322
271,Kancheepuram,Tamil Nadu,33,3,604
272,Kandhamal,Odisha,21,21,390
273,Kangra,Himachal Pradesh,2,2,24
274,Uttar Bastar Kanker,Chhattisgarh,22,14,413
275,Kannauj,Uttar Pradesh,9,29,160
276,Kanyakumari,Tamil Nadu,33,28,629
277,Kannur,Kerala,32,2,589
278,Kanpur Dehat,Uttar Pradesh,9,32,163
279,Kanpur Nagar,Uttar Pradesh,9,33,164
280,Kasganj,Uttar Pradesh,9,71,202
281,Kapurthala,Punjab,3,2,36
282,Karbi Anglong,Assam,18,15,314
283,Kargil,Jammu & Kashmir,1,4,4
284,Karimganj,Assam,18,18,317
285,Karimnagar,Andhra Pradesh,28,3,534
286,Karnal,Haryana,6,6,74
287,Karur,Tamil Nadu,33,12,613
288,Kasaragod,Kerala,32,1,588
289,Kathua,Jammu & Kashmir,1,7,7
290,Katihar,Bihar,10,10,212
291,Katni,Madhya Pradesh,23,33,450
292,Kaushambi,Uttar Pradesh,9,43,174
293,Kendrapara,Odisha,21,10,379
294,Kendujhar,Odisha,21,6,375
295,Khagaria,Bihar,10,21,223
296,Khammam,Andhra Pradesh,28,10,541
297,Kheda,Gujarat,24,16,483
298,Lakhimpur Kheri,Uttar Pradesh,9,22,153
299,Khordha,Odisha,21,17,386
300,Khunti,Jharkhand,20,20,365
301,Kinnaur,Himachal Pradesh,2,12,34
302,Kiphire,Nagaland,13,9,269
303,Kishanganj,Bihar,10,8,210
304,Kishtwar,Jammu & Kashmir,1,18,18
305,Cooch Behar,West Bengal,19,3,329
306,Kodagu,Karnataka,29,22,576
307,Koderma,Jharkhand,20,3,348
308,Kohima,Nagaland,13,10,270
