District name,priority_score,deceased,active,recovered
Alappuzha,44034.636587939865,143,383,0.8910507549412334
East Godavari,121491.5666843428,631,165,0.6589367727546185
Ernakulam,60609.56750619282,202,797,0.8498011767985796
Faridabad,36248.98184401604,295,630,0.9084004636762484
Gurugram,43579.9157894336,259,939,0.8895804903816525
Jaipur,42103.23174280827,408,551,0.8999574474329064
Jodhpur,35607.215781364095,212,444,0.9115200070431835
Kolkata,99038.45053811552,2490,890,0.7371278484541679
Kollam,44293.405680525306,151,464,0.8823905738727238
Kottayam,31987.01638636592,81,423,0.9182579859429796
Kozhikode,62987.74144238323,175,710,0.8364249974321727
Lucknow,68893.27578027782,957,345,0.8105266247010315
Malappuram,65371.254172542365,211,764,0.8301888453581019
Nagpur,110486.69355548028,2909,389,0.6925092808616161
Nashik,102167.53214307,1680,372,0.7115464189813796
North 24 Parganas,93454.99477554257,1876,842,0.750926618831712
Palakkad,34794.538610448115,76,478,0.9138853428416311
Thiruvananthapuram,68786.78850820802,515,399,0.814946222359173
Thrissur,54526.586085271956,199,483,0.8622705462869217
Agra,4071.5421161738927,160,95,0.9770304177488225
Ajmer,6072.793857932161,162,210,0.9648457102610379
Aligarh,4885.812876109219,51,42,0.971087731654708
Azamgarh,2675.601472424379,91,10,0.9842731581341433
Ballia,3430.4723462273046,94,29,0.9800120321051782
Banswara,766.5997041421015,26,4,0.9957183313524379
Bareilly,6076.647561995556,157,37,0.964308667517718
Basti,2272.9215395305414,94,11,0.986597408695397
Bhagalpur,4194.76395810898,70,14,0.9749790905489281
Bharatpur,3335.2137636548014,100,56,0.9803436486625288
Bhilwara,3303.4859160827264,31,128,0.9807897169520623
Bijnor,1865.5090398118143,54,22,0.989658258866341
Birbhum,3589.217413382451,66,48,0.9790817449487168
Bulandshahr,2472.621176093372,81,17,0.9858784170445041
Chandauli,1975.580298456958,48,18,0.9884315710701237
Chhindwara,0.8051001626044206,0,0,1.0
Chikkaballapura,5685.431990467904,113,38,0.9658963184692815
Chitradurga,6336.846938728349,63,34,0.9619286584202726
Churu,1705.4342688320544,33,28,0.9903772505172338
Coimbatore,22579.23347790306,597,161,0.8649029361271294
Cooch Behar,4862.483604235528,58,54,0.9710407770979149
