District name,priority_score,deceased,active,recovered
Faridabad,39389.6958355926,321,468,0.8994246954483343
Gurugram,47972.0036116163,278,698,0.8804016397485255
Jaipur,45850.45175346674,426,643,0.8940778155253897
Jodhpur,38346.32796705318,230,531,0.9066921583929768
Kolkata,104289.96020638522,2569,893,0.7244949766019606
Nagpur,112817.64566572102,2938,463,0.6931767081439102
North 24 Parganas,98476.6090193693,1951,858,0.7386788593709656
Ajmer,6547.86842400728,181,290,0.9628677611862356
Alappuzha,21397.719519157934,165,236,0.8839062685857024
Aligarh,4856.568495243669,51,40,0.971031689619858
Alwar,8941.6697851614,74,147,0.9474044567970361
Azamgarh,2635.5456617904633,91,10,0.9842900950717608
Ballia,3386.5392483270834,95,21,0.9797961628956126
Bankura,4485.593665478251,85,65,0.9733584382352685
Bareilly,6009.601589050043,157,31,0.9642052064626748
Barmer,1988.3746526886935,38,49,0.9882182965995236
Bhilwara,3551.9124818214864,31,101,0.9799905421440321
Birbhum,3687.4900272267205,72,100,0.9783136584785617
Bulandshahr,2492.146484318553,84,25,0.9855434060466453
Chikkaballapura,5571.878860074658,113,16,0.965879188945333
Chitradurga,6247.933148826732,63,37,0.9618900625785133
Churu,1763.4079535451967,35,33,0.9899996228462344
Coimbatore,22340.084443799176,607,146,0.8638445894391144
Cooch Behar,4850.985297291539,62,31,0.9706371287573944
Cuddalore,11178.007661914759,275,32,0.9309779597141754
Cuttack,12925.669568511905,138,55,0.9207280808385578
Dakshina Kannada,14709.00670712693,712,66,0.9112238059456841
Davanagere,9974.081244667246,263,26,0.9389301018025049
Dindigul,4733.972008514712,194,28,0.9711767487604697
Erode,5671.897148685745,139,54,0.9658878924937697
Ganjam,10005.981651295808,248,8,0.938146782443202
Gorakhpur,9225.894238931991,321,41,0.9443988314035632
Hassan,12442.71548525804,384,31,0.924160180105429
Haveri,4913.071732021112,189,50,0.9702483702605552
Hooghly,11381.57247904757,395,198,0.932805704885882
Howrah,14197.400339649397,867,150,0.9162515557592831
Jaunpur,2857.677876550099,90,17,0.9828511083968934
Kancheepuram,12729.956924981367,423,48,0.9222192888040455
Kangra,2266.670992798908,119,106,0.9888652603666515
Kannur,14741.059408427109,153,131,0.9170087644732757
Kanpur Nagar,14021.44332117423,776,87,0.917922637059129
Kolar,4218.004514974428,168,20,0.974513108994537
Kollam,21483.76749939309,162,229,0.8772654611285021
Kottayam,15871.877750366119,94,346,0.9133648788611117
Krishna,20893.986211240168,632,102,0.8756814153130231
Madurai,9087.046954861562,438,22,0.9449500561378874
Mandi,2926.058509749737,77,150,0.9864195632559395
Mandya,8539.710430066556,146,27,0.9478338318532465
Mayurbhanj,0.9656374821345377,0,0,1.0
Munger,1832.2870869798787,48,7,0.988984208861953
Murshidabad,4958.942256639753,120,34,0.9703412081105467
Nadia,8223.202949835062,221,239,0.9520753611247306
Nagapattinam,3499.448294697697,124,24,0.9791666062253581
Nagaur,1.016151969636411,0,0,1.0
Nalanda,3533.6771725593726,55,17,0.9782382277254437
Namakkal,4776.076324789816,102,37,0.9709591600495522
New Delhi,1.0373331245774493,0,0,1.0
Palakkad,17229.0352673329,82,351,0.9076437463553891
Pali,0.9086167522833594,0,0,1.0
Paschim Medinipur,8222.40313146575,251,81,0.950746619396728
Pudukkottai,5130.460330508726,154,8,0.9685685854122725
Purba Medinipur,8255.812683688944,233,83,0.9509409986451476
Purnia,4051.959156893388,18,41,0.9750991479226081
Salem,13719.34169458679,437,76,0.9168956183435987
Shimla,3038.578614434333,157,202,0.9875249139074
Sikar,0.9733313509599502,0,0,1.0
Sirmaur,1197.0825238162556,21,12,0.9929733352287727
Sitapur,2099.714233813586,70,-1,0.9874523843370943
Sivaganga,2906.776241182539,126,12,0.9824014250609974
Sundargarh,0.9112635930682766,0,0,1.0
Thanjavur,7552.292919832677,229,25,0.9537203317792664
Thiruvallur,18846.91169800184,651,62,0.8852379114965171
Thoothukkudi,7234.330272443454,135,11,0.9553914130791124
Tiruchirappalli,6179.436567183293,172,29,0.9621917855909854
Tirunelveli,6847.684426038135,210,32,0.9580866119116764
Tiruppur,7021.150877923418,208,57,0.9583361136335284
Tiruvannamalai,8592.88049878255,275,10,0.9472448917423634
Udaipur,0.9309804196226295,0,0,1.0
Udupi,10461.724811209695,187,29,0.9355444214606294
Uttara Kannada,6342.796116979122,169,33,0.9613069248332545
Vellore,8905.321996602192,331,43,0.9455854151737664
Viluppuram,6740.294792884548,110,22,0.958405742021022
Virudhunagar,7337.538034621851,226,15,0.9548837060869717
Yavatmal,5549.247235731323,346,38,0.9677707601389086
Adilabad,0.6834123475765775,0,0,1.0
Aizawl,1237.7093443456088,5,4,0.9931561097459434
Akola,4533.930928376809,300,51,0.9754298827632025
Alirajpur,538.7903603549553,13,4,0.9969131414877845
Ambedkar Nagar,862.4063492335088,37,2,0.9950679892192047
Amroha,1929.382760770271,45,9,0.9887695213338478
Anantnag,2187.3303917016324,78,8,0.987449483154282
Angul,4698.0555121650805,34,37,0.9729087548993725
Anjaw,93.56231285234773,0,1,0.9994603799969247
Anuppur,914.1122861891439,14,11,0.9946966378192389
Araria,3333.548786578873,21,25,0.9803967077377447
Ariyalur,2200.3931525524004,48,10,0.9869910962699493
Arwal,1044.0194841336042,10,1,0.9938204806099447
Ashoknagar,433.9863685144578,16,7,0.9977399785892709
Auraiya,1559.9099290969239,43,13,0.9913486728539226
Aurangabad,0.6783814726900288,0,0,1.0
Aurangabad,0.6772490892767088,0,0,1.0
Ayodhya,3596.7188293761687,103,10,0.9790766695581788
Bagalkote,6512.160790668536,134,5,0.9615796360176043
Bageshwar,553.3331481638124,9,8,0.9970785089080818
Baghpat,903.0088406226233,30,15,0.995047680939519
Baksa,0.7282120298246413,0,0,1.0
Balasore,5538.965905545496,87,34,0.9677852660529698
Balrampur,0.6786080989627993,0,0,1.0
Banaskantha,1818.3742528832215,34,51,0.9899299944587409
Bandipora,2117.80996925777,50,9,0.98782373573706
Banka,1553.5986623695223,17,2,0.9909715190883324
Barabanki,3574.514991225298,87,16,0.9792420369784761
Baramulla,3565.388826847973,161,35,0.9801820202096395
Barnala,1067.6952182363414,57,3,0.9940583776005477
Barpeta,0.725417063037845,0,0,1.0
