District name,priority_score,deceased,active,recovered
Ahmedabad,51394.65876908304,2100,322,0.8678163388640184
Ahmednagar,64183.85784053435,956,225,0.8277410688457165
Alappuzha,48728.253275257375,186,394,0.8726682190391902
Bhopal,33247.650514339126,525,321,0.9150920969344939
Dehradun,22150.973443027793,707,239,0.9436534600435924
Ernakulam,67442.01291888401,240,486,0.8298233102195949
Faridabad,41788.774368437764,359,336,0.8870548743637994
Gurugram,51462.49272567801,310,423,0.8660520188003197
Indore,44376.343197159986,776,526,0.8888249227393933
Kannur,33611.27069429408,158,275,0.9129468441297692
Kollam,48870.62574410633,179,318,0.8702107732361811
Kottayam,37603.70650506031,114,570,0.9075307252329274
Palakkad,39934.69089605014,82,447,0.9005049506935554
Patna,42952.78352966543,334,216,0.8837439100884165
Raipur,47374.61839067485,669,196,0.8866596208430356
South 24 Parganas,32724.78352894266,593,216,0.9126575643790653
Thrissur,61535.359711957775,255,528,0.8433850886313058
Bengaluru Urban,372583.32849222486,4170,620,0.0
Thane,243148.36706233543,5342,638,0.3619892135887015
Anantapur,66796.03359776661,592,24,0.8109599791489447
Chittoor,84072.12876436983,831,92,0.7630770200175859
Dakshina Kannada,32071.05878986365,717,42,0.911506173688145
East Godavari,122548.08397997462,636,60,0.6532796017677571
Guntur,73198.09937447881,652,71,0.794932162466382
Howrah,31840.19594046828,902,140,0.9143130465167567
Jalgaon,55207.061588342985,1416,44,0.8492279667643343
Kanpur Nagar,30922.067186459968,787,48,0.9166358769902303
Kolhapur,48606.01540494051,1647,11,0.8658257504804622
Krishna,45895.160952812075,643,115,0.8738539796014814
Kurnool,60282.01820315301,487,13,0.8291301844802845
Lucknow,72838.36248200563,1020,259,0.8042635825435424
Prakasam,61558.027999865284,578,20,0.826334768275463
Sangli,48825.06298795893,1723,45,0.8663298419272333
Satara,53020.17914671167,1687,128,0.8587169154186107
Solapur,50589.18334522608,1679,131,0.865138353053047
Srikakulam,45525.05738946363,346,41,0.8711244389834538
Thiruvananthapuram,73647.39047169879,559,279,0.801860555703537
Visakhapatnam,58383.03079874088,543,22,0.8357492488751027
Vizianagaram,40742.011205682225,236,8,0.884422715047989
West Godavari,92770.11896704599,527,85,0.7372996164895187
Mumbai,284511.07640573895,10945,813,0.258206522828755
Pune,356503.05086575757,7532,803,0.05660144983574067
Kolkata,109955.80600878043,2651,794,0.7098323609523891
Kozhikode,71163.62600012378,205,773,0.8129448392206059
Malappuram,75415.0832052775,247,943,0.806743941594132
Nagpur,115739.88592652888,3021,570,0.6900954623177322
Nashik,106765.17446941171,1739,487,0.7066330987589613
North 24 Parganas,103726.94882705063,2032,694,0.7238037136646016
Almora,1209.9063575898535,16,39,0.9937933740616309
Ambala,5181.161869209715,127,80,0.9713527122124745
Ambedkar Nagar,885.4397116434764,39,4,0.995090836705877
Amreli,1657.3437167542863,27,19,0.9916395287890635
Amroha,1973.8676539965134,48,9,0.9887982860890809
Anand,953.8513886253321,16,10,0.9947901003313828
Anantnag,2243.549876136177,79,12,0.9874206270783031
Araria,3409.6541045267995,22,12,0.9803662109794554
Auraiya,1609.4350061207438,44,4,0.9910695617554984
Bahraich,1919.1811410756818,74,7,0.9892021320776874
Balaghat,1311.4763470930666,11,20,0.9928109685716168
Balangir,3957.337436784071,35,29,0.97750491918784
Banda,1687.1456405792417,37,15,0.9905053230338285
Banka,1602.624728574999,18,20,0.9909292181140679
Baran,969.4973465370819,28,16,0.9948674325419671
Bargarh,4769.713143362665,39,11,0.9725957558937169
Barpeta,0.7285115283379416,0,0,1.0
Barwani,1181.5255170392643,21,18,0.9934840452192941
Bastar,3550.8495397892416,76,15,0.9801485351274406
Bathinda,4158.640897702628,191,50,0.9772528734644544
Begusarai,3582.6144813617875,32,18,0.9793437073061754
Betul,1459.493013533456,66,16,0.9920720163371455
Bhadohi,1031.517832249745,18,12,0.9943203787559826
Bhadrak,3530.7955590890338,28,9,0.9794725943238157
Bharuch,1684.693106164924,18,21,0.9906829007025775
Bhavnagar,2584.0776392327516,68,25,0.9853527064841626
Bhind,674.3929490751079,9,4,0.9961935367456888
Bhiwani,2821.496736407591,122,21,0.9844734106082608
Bhojpur,2342.712169054035,41,3,0.986458270679922
Bidar,3469.2661876465336,168,3,0.9803117920164517
Bokaro,3001.75625064462,57,25,0.9828293850943596
Budaun,1764.3225488126618,42,10,0.9903277453650796
Bundi,1075.5056500562455,12,20,0.9947156322767462
Buxar,1888.8610626762272,16,2,0.9891162073992604
Cachar,0.7281018049960828,0,0,1.0
Chhatarpur,894.2303664839516,31,2,0.9950135044952928
Dakshin Dinajpur,3837.6143200689294,61,13,0.978349845192371
Damoh,1192.2564878717292,72,13,0.9936587587320954
Darrang,0.7238437830238392,0,0,1.0
Dausa,1089.181870464791,19,11,0.9941972200502373
Deoghar,1703.2359514318882,23,11,0.9902360923747576
Dewas,1173.6757648711719,26,9,0.9934926376871368
Dhamtari,3109.3298723834537,92,65,0.9840008248769129
Dhanbad,3466.329705240928,92,24,0.9802258673380249
Dharmapuri,0.7230924030146327,0,0,1.0
Dhenkanal,0.7222884117271293,0,0,1.0
Dhubri,0.7222710505361454,0,0,1.0
Dindori,438.43966789433296,1,2,0.9975339617291482
Doda,1552.3280932003515,57,15,0.991545011642794
Dumka,654.3664929718219,10,2,0.9962880538919583
East Khasi Hills,3540.6427006503536,97,34,0.9805380603363092
Etah,1182.9504269069294,25,2,0.9936014756131442
Etawah,2659.2938658109106,99,14,0.9853756197317431
Farrukhabad,2137.547454559562,75,9,0.9880851112581378
Fatehabad,2157.1098883477343,101,23,0.9885548328335381
Fatehpur,1753.091462372593,61,12,0.9904995947219334
Gadag,5264.093658635355,141,5,0.9697029583866782
Gadchiroli,3738.9859619483977,65,37,0.9795842964057707
Gaya,3606.53745259835,55,8,0.9794983717273438
Giridih,1653.3861088216586,14,1,0.9903821643280833
Golaghat,0.7355327567811892,0,0,1.0
Gumla,1081.334116733939,3,4,0.9938363364008443
Gurdaspur,3667.6292317965645,221,25,0.9797131834234111
Hanumangarh,0.7331944713830069,0,0,1.0
Hazaribagh,2062.284372134063,33,5,0.988182492560355
Hoshangabad,1611.8842854817035,56,9,0.9908747991510641
Hoshiarpur,3465.89431925996,261,30,0.9809877328200766
Hyderabad,0.715182599086382,0,0,1.0
Jalaun,1793.144367496575,44,11,0.9900441939262709
