District name,priority_score,deceased,active,recovered
Akola,4681.974829631726,352,32,0.9750716685940903
Alirajpur,551.9554673396095,13,1,0.9968950783260971
Almora,1164.9801977910433,14,32,0.9938963323471429
Ambala,5094.172963235418,125,37,0.9719351811730406
Ambedkar Nagar,883.4034422288752,38,6,0.9950872218985936
Amravati,9109.28228775537,352,126,0.9507201294769556
Amreli,1628.571611050473,27,28,0.9920884759196393
Amritsar,6445.398450073111,502,47,0.965644988650679
Amroha,1963.8507495069075,47,6,0.9888113774431171
Anand,935.8151272700018,16,16,0.9949006970290892
Anantnag,2234.599882097432,79,10,0.9874827464495709
Angul,4840.555884627666,36,38,0.9727243248517128
Anuppur,937.2545959426873,14,7,0.9946682583455531
Araria,3400.228803488132,22,5,0.9804005406351602
Ariyalur,2236.556627050354,48,5,0.9871068270971852
Arwal,1065.019954633253,10,2,0.993856157759865
Ashoknagar,447.1897498682596,16,1,0.9976411778041144
Auraiya,1600.6201912347863,44,9,0.9912534184269354
Bagalkote,6617.59397176034,136,11,0.9619345785542314
Baghpat,942.1542807637117,30,10,0.9949064362558433
Bahraich,1912.4749890517462,74,4,0.9892475586764196
Baksa,0.7230822600908318,0,0,1.0
Balaghat,1290.7645859018528,11,21,0.9929751864531292
Balangir,3933.904386184493,35,22,0.9777863228487226
Balasore,5653.168402454019,89,14,0.9677713721630284
Banda,1675.0648924438951,37,17,0.9906106250304897
Banka,1587.3955005522803,17,7,0.9909521090223514
Baran,948.029899109863,28,4,0.9951159180323635
Bargarh,4748.485874053043,39,3,0.9726927591045659
Barpeta,0.7260535943877228,0,0,1.0
Barwani,1167.389148816492,21,18,0.9935175433813802
Bastar,3529.031680453947,76,23,0.9802398422860488
Bathinda,0.7267753006171666,0,0,1.0
Beed,7970.3964917203575,490,77,0.9576358977155008
Begusarai,3567.175763238669,32,3,0.9793961759532138
Belagavi,12572.630531657192,341,27,0.9280731407057528
Bengaluru Rural,8642.964791668015,144,38,0.9508320443986582
Betul,1442.5196292408066,66,16,0.992168825094195
Bhadohi,1023.4027156637814,18,2,0.9943382528071993
Bhadrak,3528.981372251957,28,7,0.9795540046889483
Bhandara,5521.628160002932,224,51,0.9716797855824885
Bharuch,1653.9832712835598,18,13,0.990794280286617
Bhavnagar,2558.70930843515,68,19,0.985482625925809
Bhind,667.500382207332,9,5,0.9962608937697824
Bhiwani,2766.299819655771,116,24,0.9848800071166411
Bhojpur,2342.2928950345245,41,2,0.9866362105033589
Bidar,3465.3627277237542,168,1,0.9803259306873585
Bikaner,9026.822153604846,162,35,0.9486827039792929
Bokaro,2985.0808619519294,56,7,0.982971714220943
Budaun,1740.6518860225901,42,11,0.9904183609342313
Budgam,3398.3301973642774,101,45,0.9810863782322607
Buldhana,5891.62756955514,206,33,0.9682534672103628
Bundi,1042.577455844404,11,36,0.9950269600176768
Burhanpur,399.21561103010663,26,2,0.99777891924621
Buxar,1889.4432682717793,16,4,0.989112686847701
Cachar,0.7266699688185877,0,0,1.0
Chamoli,1330.9501623628437,12,43,0.9931990162965344
Chandigarh,8586.413537484195,278,128,0.9535897428539453
Chhatarpur,890.2494361769953,31,2,0.9950958307387245
Chikkamagaluru,6474.173234614254,138,19,0.9629877266635867
Chitrakoot,998.9214525517461,13,2,0.9942980782199214
Dakshin Dinajpur,3827.156242946685,60,13,0.9784664212190691
Damoh,1182.050977430181,71,9,0.9937930262655712
Darjeeling,7557.254179484685,182,98,0.9584709552082048
Darrang,0.7222085784107714,0,0,1.0
Datia,811.4321102137386,20,5,0.9955951434663208
Dausa,1072.917766884856,17,24,0.9943468616473302
Dehradun,10544.799258472749,685,164,0.9448029866936027
Deoghar,1694.1033298706134,23,3,0.990240444904858
Dewas,1154.6488804513117,26,20,0.9937270251579005
Dhalai,0.7294626643888071,0,0,1.0
Dhamtari,3034.668994926309,91,59,0.9844208689763229
Dharmapuri,2981.2082678760066,50,22,0.9830463241687447
Dharwad,10477.859228775822,600,10,0.9406219600033288
Dhenkanal,0.7197311843122075,0,0,1.0
Dhubri,0.7195318101886237,0,0,1.0
Dhule,7224.243682376105,336,18,0.9590879220842576
Dindori,436.43196501399717,1,3,0.9975579590161817
Doda,1530.1671013652822,56,13,0.9918474283959722
Dumka,653.3078678925995,10,4,0.9963068075838142
Durg,9464.155385517428,516,102,0.9510415261751785
East Khasi Hills,0.7422099814181877,0,0,1.0
East Singhbhum,8430.448534574765,352,18,0.9524418975031494
Etah,0.7178955623486298,0,0,1.0
Etawah,0.7243719600795551,0,0,1.0
Farrukhabad,0.729318045120422,0,0,1.0
Fatehabad,2134.400569678685,100,78,0.9887941597628551
Fatehpur,0.7341008087731707,0,0,1.0
Gadag,5263.5138296885325,141,4,0.9696825346721036
Gadchiroli,3675.957770940457,62,43,0.9801451450446081
Ganderbal,2063.309251580377,38,6,0.988558851465942
Garhwa,1313.7103700762648,10,3,0.992452916818517
Gaya,3598.035935969339,53,9,0.9795884400494721
Ghaziabad,0.7234525788209332,0,0,1.0
Giridih,1651.0157245087926,14,1,0.9904011432539694
Goalpara,0.7128476756723316,0,0,1.0
Godda,998.9197923141554,10,1,0.9942062505918577
Golaghat,0.734910991285131,0,0,1.0
Gondia,6164.3718743599175,128,59,0.967053968818781
Gumla,1079.2152005825244,3,2,0.9939365069344207
Guna,607.2927249172672,19,10,0.9969524705936369
Gurdaspur,0.727422010965879,0,0,1.0
Gwalior,7164.560224568321,182,47,0.9607006448021258
Hanumangarh,1306.8968415769361,12,10,0.9932363212704353
Haridwar,5937.662708662964,135,40,0.9675819776801472
Hazaribagh,2055.398337604671,32,5,0.9882288459275882
Hisar,7732.501608525195,241,67,0.9585886093566613
Hoshangabad,1597.1839124047247,56,6,0.9909922836096293
Hoshiarpur,0.7442861017989499,0,0,1.0
Hyderabad,0.71130520828325,0,0,1.0
Jabalpur,6981.4753992612805,223,52,0.961484049254044
Jaisalmer,861.9015152072132,21,23,0.9956525357338606
Jalandhar,0.7431983581913368,0,0,1.0
Jalaun,0.7301560576954552,0,0,1.0
Jalna,5774.733741331473,314,53,0.9677570240961435
Jalore,2459.848127713311,43,48,0.9866390801167358
Jalpaiguri,6110.183176611545,135,113,0.9666206571988556
Jammu,10170.093240679591,302,95,0.9432447866298973
Jamnagar,0.7082565554678101,0,0,1.0
Jamui,1493.8809948991568,10,6,0.9914858571104715
Janjgir Champa,7722.785039802282,168,124,0.9588095695866896
Jashpur,1304.026221042811,18,40,0.9930957102149628
Jehanabad,2020.6706351993648,15,15,0.9884440669308624
Jhabua,970.0741361174389,22,9,0.9947371290666008
Jhajjar,2516.131311630073,56,27,0.9862315950172034
Jhalawar,1494.8740121094213,17,10,0.9917068173404997
Jhansi,0.7407377946634081,0,0,1.0
Jind,1946.3530681794693,74,56,0.989942005113651
Kabeerdham,2419.7214233725363,57,28,0.9870494348296454
Kaithal,1687.319523760768,45,34,0.9906852349782914
Kalaburagi,10024.43130907027,319,8,0.9428889545711506
Kalahandi,0.7376999476477707,0,0,1.0
Kamrup,0.7415588586401416,0,0,1.0
Kandhamal,0.7346095068505334,0,0,1.0
Kannauj,0.7224063825900592,0,0,1.0
Kanpur Dehat,0.7118204108148991,0,0,1.0
Karauli,662.6255351481947,19,8,0.9964531578660407
Kargil,990.1990454641203,42,7,0.9946424318251602
Karimganj,0.7235580871727709,0,0,1.0
Karnal,4765.707782851365,134,50,0.9739410409235564
Karur,0.7313531318624477,0,0,1.0
Kasaragod,10762.425348191902,76,83,0.9421170285727404
Kasganj,0.706956936924624,0,0,1.0
Kathua,1381.3330206884123,39,20,0.9923410018968144
Katihar,3356.182716391457,11,15,0.9807047196531211
Katni,947.5440444687148,16,11,0.9946424318251602
Kaushambi,0.7123495315420049,0,0,1.0
Kendrapara,0.7158335767883169,0,0,1.0
Khagaria,1448.8545223246786,11,3,0.991614989712436
Khammam,0.7068532266048013,0,0,1.0
Kheda,0.7239815968721575,0,0,1.0
Khordha,0.7469715506212398,0,0,1.0
