District name,priority_score,deceased,active,recovered
Agra,4651.684144683798,170,35,0.9740643207029704
Ajmer,7468.182067853718,211,45,0.957535237211587
Aligarh,5138.987275388942,54,13,0.9709233309227852
Alwar,9763.770272266327,75,46,0.9439288297015923
Azamgarh,2748.6577326800616,93,9,0.9846607267120577
Ballia,3549.028693055899,100,13,0.9801361732319993
Bankura,5094.205881342857,87,29,0.971815688575366
Bareilly,6403.780122196857,158,17,0.964166518850032
Barmer,2250.183969666846,46,10,0.9873405285922854
Bharatpur,4080.270393227702,118,35,0.9771671055683663
Bhilwara,4213.486186403503,36,61,0.9764903327920971
Birbhum,4259.278459711164,79,56,0.9764903327920971
Bulandshahr,2745.40751651085,89,24,0.9848954140457641
Chikkaballapura,5900.610788807534,116,16,0.9665788863267339
Chitradurga,6573.420823983894,68,27,0.9625619124288775
Churu,1954.8458662581959,40,15,0.9889505928584098
Cooch Behar,5304.852074361463,68,21,0.9703447993559743
Cuddalore,11435.376025306025,279,7,0.9342056788876912
Cuttack,13295.88372165159,142,27,0.9233281938626533
Davanagere,10213.153386831344,264,16,0.9414618837751914
Dindigul,4991.8643159993835,196,18,0.9717938571954864
Erode,6177.690134612628,142,44,0.9652389853866201
Ganjam,10163.155831422531,254,2,0.9414127631704622
Gorakhpur,9625.371533133934,331,37,0.9457162739292391
Hassan,12916.655104767868,389,24,0.9264500811854439
Haveri,5101.17132358326,190,7,0.9708987706204205
Jaunpur,3012.6715570959686,96,19,0.9831680061127863
Kancheepuram,13219.289618066563,433,31,0.9246053295856131
Kangra,3274.523736420522,169,88,0.9840549059203973
Kolar,4444.717193983527,174,29,0.9748611660685779
Lucknow,1.0299346121082227,0,0,1.0
Madurai,9445.950886556604,447,26,0.9468378610705563
Mandya,8944.646509901257,147,31,0.9487863117248154
Mayurbhanj,0.9434520083621162,0,0,1.0
Munger,0.8783983778271922,0,0,1.0
Murshidabad,5401.250086490194,138,34,0.9699518345181405
Nagapattinam,3705.5592403264272,127,17,0.9790282307031068
Nagaur,4228.030500809468,88,25,0.9763893626601536
Nalanda,0.8898563399591722,0,0,1.0
