District name,priority_score,deceased,active,recovered
Ahmedabad,56207.82591469388,2223,202,0.8625044127831929
Ahmednagar,68113.7155256774,1029,175,0.8230413305989798
Akola,10330.15542295071,345,38,0.9745042187554739
Ambala,11313.139068341789,141,34,0.9705778522748403
Amravati,19545.278075453647,378,68,0.9495177602733635
Amritsar,14292.163599402811,542,40,0.9645333498616205
Bagalkote,13647.004149257127,136,1,0.9636871734203584
Balasore,11924.049122005435,96,12,0.9685109181014387
Ballari,38749.081825800524,595,20,0.8978524904266184
Bargarh,10038.06547886551,40,16,0.9733238834647961
Bathinda,8996.155423250477,199,38,0.9768568048485371
Beed,16815.114536004174,518,28,0.9570417240440766
Belagavi,26129.090004251626,342,22,0.9310420096959963
Bengaluru Rural,18149.069563274643,151,17,0.9523527208345348
Bhandara,12404.134980729554,261,33,0.9689717339341006
Bhiwani,6200.118628078821,137,29,0.9838552768802499
Bikaner,18946.01641693225,165,4,0.9496336379388867
Buldhana,13392.331222211866,215,81,0.9666029788644528
Chandigarh,19266.33531186128,313,82,0.9499192898585485
Chandrapur,22882.163598928953,382,40,0.941621910041204
Chikkamagaluru,13611.02867974777,139,7,0.9640294167580663
Dakshin Dinajpur,8046.036860042182,72,9,0.9787647440855232
Darjeeling,17422.220834561347,196,54,0.9549181984526289
Dehradun,26179.940396047274,815,230,0.9370272258617391
Dhamtari,7506.200395549313,104,49,0.9815026907871867
Dharwad,21767.049124228324,606,12,0.9433223474120206
Dhule,15533.216749762742,343,53,0.959852431140371
Durg,21842.408903182208,544,100,0.9465857858526845
East Singhbhum,17684.081828560727,355,20,0.9538294873625974
Faridabad,45101.278070195265,397,68,0.8813601343102988
Gadag,10875.032771083272,141,8,0.9711572406024561
Gadchiroli,8365.057302255134,85,14,0.9784629231892767
Gautam Buddha Nagar,24673.273984218536,89,67,0.9353106195143378
Ghaziabad,25631.23310169914,99,57,0.9336937218558752
Gondia,13542.143155274578,146,35,0.964999555353144
Gurdaspur,7827.1349818172675,243,33,0.9799504690350624
Gurugram,56109.44978225116,341,110,0.8532018615881708
Haridwar,13120.151332163945,145,37,0.9664278149514527
Hisar,16820.077742634952,313,19,0.9558236611413681
Hoshiarpur,7601.081832999266,302,20,0.9808316782589246
Idukki,15404.989460772971,15,242,0.9668185652189145
Jalandhar,19612.24127906792,625,59,0.9501429607013024
Jalna,12620.155423672162,335,38,0.9675596433123765
Jalpaiguri,14104.192218115211,155,47,0.963619802684589
Jammu,23149.400727079617,347,98,0.9408700526300188
Janjgir Champa,18147.22083443215,205,54,0.952185641409827
Kalaburagi,20951.073651304214,322,18,0.9450389537594218
Karnal,10620.167687485582,145,41,0.9725262139532879
Kasaragod,23664.27807515768,84,68,0.9408835267771727
Koppal,13837.02050569513,279,5,0.9637060372263737
Korba,15601.175864358676,101,43,0.9586128096022162
Koriya,4549.155423700921,36,38,0.9883906748122377
Kota,17935.4252570207,164,104,0.9537405579913819
Latur,23057.134979303286,674,33,0.9408970009243265
Ludhiana,24486.122715019552,953,30,0.9377898625906473
Mahasamund,7562.298517853823,114,73,0.9811227198374479
Malda,12335.122713359006,109,30,0.9680204591450384
Muzaffarpur,11332.122714973886,45,30,0.9701466795659168
Mysuru,51957.17585755621,1008,43,0.8638976395989015
Nainital,10652.462054718198,199,113,0.974762922380828
Nanded,21080.269898905888,647,66,0.9464645185282997
Nandurbar,7846.237192824028,166,58,0.980567584974709
Osmanabad,16719.04094710091,534,10,0.9570821464855382
Parbhani,7503.028683633318,276,7,0.9810849922254171
Pathanamthitta,27108.659957629392,45,406,0.9394902999614639
Patiala,15538.188130126688,469,46,0.9600922709597096
Patna,47159.054868711086,367,258,0.8791503741770664
Puducherry,30310.08182905264,515,20,0.9201926264077115
Purba Bardhaman,12021.139067041355,92,34,0.9689663442752391
Raichur,14123.028682759366,158,7,0.9626281054540653
Raigarh,20739.35984037321,271,88,0.9458905198595455
Raigarh,20739.359840133675,271,88,0.9458905198595455
Raipur,51354.842271855385,698,206,0.88188832087873
Rajnandgaon,17713.531556820417,161,130,0.9561497355024914
S.A.S. Nagar,17726.429343629043,334,105,0.9575079295356
S.P.S. Nellore,61975.06138069713,505,15,0.8357905686359581
Shivamogga,21912.053209130027,348,13,0.9423872415995429
South 24 Parganas,35499.314865691864,653,77,0.9084377804306877
Srinagar,24865.200393950265,443,49,0.9359492940894306
Surguja,7102.216749648137,78,53,0.9826345191481105
Tumakuru,24310.204480013734,377,50,0.9365771893468003
Udham Singh Nagar,10949.126803946574,106,31,0.971841727277872
Wardha,9205.253544861302,244,62,0.9770885601795835
Wayanad,15401.063049772967,47,260,0.9654846246506827
Y.S.R. Kadapa,54857.134972965934,457,33,0.8538728741164328
Yadgir,10563.008240914749,61,2,0.9718201686424258
Bengaluru Urban,384366.8851913893,4282,550,0.0
Thane,251430.72424862764,5516,450,0.3641253526858017
Mumbai,288562.58859791484,11033,745,0.2762173218246151
Pune,368448.3241878272,7708,621,0.06371654706115382
Alappuzha,54785.81914329302,230,431,0.8631188338934087
Ernakulam,78724.44463091598,295,953,0.811555967565033
Kollam,55885.42169725043,210,499,0.8592813967839905
Kottayam,47356.68883194962,137,642,0.8904821319334593
Kozhikode,82013.36097145428,270,605,0.7943171436963897
Malappuram,86937.43055944657,317,500,0.7803848755393028
Palakkad,45982.2520343665,119,367,0.8904578784685824
Thiruvananthapuram,79409.57989494146,626,404,0.7969688558562686
Thrissur,70904.997668077,310,564,0.8263371069928129
Anantapur,67196.02285935316,595,19,0.8209609222784244
Chittoor,85657.07697440239,839,64,0.7725779546783587
Dakshina Kannada,32673.01684774727,734,14,0.9148676434525077
East Godavari,123396.0421002704,636,35,0.6702741449979923
Guntur,74381.05532819375,662,46,0.8026576407846265
Howrah,34063.12146855656,980,101,0.9129543145566601
Jaipur,56186.20203877092,493,168,0.8604509527569453
Jalgaon,55724.07697445706,1435,64,0.8552876595675877
Jodhpur,43139.09381003561,280,78,0.8883208787299808
Kannur,37980.27419212207,188,228,0.9075700453539793
Kolhapur,49026.00722701332,1657,6,0.8737202928740625
Krishna,47366.1010251619,661,84,0.875965085789895
Kurnool,60508.006023614376,487,5,0.838501567043314
Prakasam,61961.01564417998,578,13,0.8350441008836346
Sangli,49966.03248036454,1763,27,0.8708314357242758
Satara,54054.0805822649,1738,67,0.8615369690175461
Solapur,52679.114253551976,1734,95,0.8655253165750874
Srikakulam,45873.019251873164,346,16,0.8777490628730654
Visakhapatnam,58952.0384924127,549,32,0.8433387858715482
Vizianagaram,40994.00482109154,238,4,0.8903635594385053
West Godavari,93707.01564369636,532,13,0.7495209940686804
Alirajpur,0.708842770364679,0,0,1.0
Almora,1456.4181166825722,21,23,0.9930500348980411
Ambedkar Nagar,903.4828595262271,42,1,0.9953002174727351
Amreli,1810.1767994388413,32,11,0.9905519280157162
Amroha,2050.7331261365175,50,11,0.9890212648990382
Anand,1061.6040657867798,17,7,0.994394754783996
Anantnag,2318.146139268521,82,1,0.9877331364311296
Anuppur,0.7108234147766822,0,0,1.0
Araria,3472.2258396235275,22,2,0.9809610300716016
Ariyalur,0.7248396585881387,0,0,1.0
Arwal,1104.5298913703325,11,1,0.9940255631519803
Ashoknagar,0.7085391572101285,0,0,1.0
Auraiya,1679.393370975546,46,11,0.9911340111727628
Bahraich,1967.323760950742,74,14,0.9895494514674694
Baksa,0.7214173243116232,0,0,1.0
Balaghat,0.7278043757039808,0,0,1.0
Balangir,4085.6640617829344,38,22,0.9778377227613378
Banda,1779.9332517654564,38,12,0.9905950452866086
Banka,1659.3776509864651,19,6,0.9911528749787782
Baran,1117.731031565357,33,12,0.9944594306903345
Barpeta,0.7251143955138052,0,0,1.0
Barwani,0.7279638850917595,0,0,1.0
Bastar,3670.85140593408,83,9,0.9803762520851242
Basti,2436.283846802569,97,8,0.9869758893610829
Begusarai,3702.585877065699,32,17,0.9799343000584778
Betul,0.7299252651593319,0,0,1.0
Bhadohi,1065.9796207781203,20,4,0.9943974496134267
Bhadrak,3597.158301070848,28,13,0.9802792382256165
Bhagalpur,4541.4278685276595,75,9,0.9755309487685977
Bharuch,1824.3143593332843,18,9,0.9903228675141007
