District name,priority_score,deceased,active,recovered
Bengaluru Urban,389193.38711418497,4322,343,0.0
Chennai,225998.2708691111,4015,240,0.41912009864887034
Thane,255248.4209736779,5590,373,0.36653823966806565
Ahmedabad,57944.53679061,2254,152,0.8603144697358602
Ahmednagar,69277.4273189378,1047,121,0.8237260059379846
Amravati,20227.303728504954,381,86,0.9487226982371277
Amritsar,14545.060067636736,558,17,0.9639037220896202
Aurangabad,48032.19072250725,1213,54,0.8780966695421613
Aurangabad,48032.19072250099,1213,54,0.8780966695421613
Ballari,38882.07772108446,597,22,0.8990807237778706
Chandigarh,19865.23310145066,319,66,0.9491249146613179
Chandrapur,23305.11656840743,392,33,0.9409429858218711
Dehradun,27470.257820688374,850,73,0.9340470910755585
Dharwad,21882.038880156535,609,11,0.9439463781998698
Faridabad,45546.07065899365,402,20,0.8812800008467714
Gurugram,56933.226035946755,343,64,0.8525559266060873
Idukki,16862.787519270165,20,223,0.9634406439696644
Jalandhar,19987.148350423777,643,42,0.9496885468873212
Jammu,23946.275477672174,355,78,0.9398210136912354
Kannur,40258.69570498278,203,197,0.9035977200679534
Kasaragod,24323.293134382802,86,83,0.9403793535958678
Latur,23363.098911558776,682,28,0.9410514784099749
Ludhiana,24844.15541297333,968,44,0.9376987928214953
Mysuru,52498.27547363214,1015,78,0.864797065937032
Nainital,11476.229571485499,211,65,0.9727207294935778
Nanded,21409.169538905953,663,48,0.946338507459527
Nandurbar,8285.173070779165,169,49,0.9799632712896857
Osmanabad,16905.074193144967,540,21,0.9572724434118537
Palakkad,48468.84755084446,134,240,0.884873487057628
Patiala,15797.09184964052,482,26,0.9600403274888465
Puducherry,30494.021221944062,518,6,0.9212476118399814
Rajkot,20348.26488305108,192,75,0.9493101459093002
S.P.S. Nellore,62110.014155816745,505,4,0.8382005048874588
South 24 Parganas,36117.16953539741,682,48,0.9066699126237742
Srinagar,25422.162475222445,450,46,0.9354574947209094
Vadodara,25075.46263666467,236,131,0.9388763343265256
Wayanad,17301.720422994076,51,204,0.9612178689938767
Y.S.R. Kadapa,55024.05653204451,461,16,0.8561361820135166
Mumbai,294660.99910612573,11132,593,0.27592046699443773
Pune,373727.8558960079,7767,508,0.06818097622160013
Alappuzha,58078.27816102347,243,382,0.8572184617338703
Ernakulam,84859.37609212144,318,743,0.7995744973617778
Kollam,60211.295324228886,220,384,0.8540854074822839
Kottayam,52269.63404138851,152,540,0.8797955047022276
Kozhikode,87332.11460617531,297,596,0.7834117478949791
Malappuram,91915.97730397608,346,580,0.7708768847279482
Pathanamthitta,31447.878867538497,59,452,0.9339121368805999
Thiruvananthapuram,82576.48866175086,657,290,0.792006477801358
Thrissur,75387.55277012306,331,414,0.8164808179811911
Agra,4923.014102708311,170,18,0.9736865781437712
Ajmer,7939.234933512237,219,18,0.9577222907283822
Aligarh,5373.889170968632,55,12,0.9709081094240367
Azamgarh,2866.553886500931,94,8,0.9847554682910565
Bahraich,1944.1757425543708,74,1,0.9896005885061364
Balaghat,0.7717624110255951,0,0,1.0
Ballia,3729.9678713404496,105,6,0.9800770561991606
Banda,1797.562076525331,40,10,0.9904552984075405
Banswara,1034.786210652452,34,5,0.994787063449641
Bareilly,6768.1982708095275,161,24,0.9641762766402227
Basti,2414.711187367701,97,2,0.987092028176319
Begusarai,0.7719071597229065,0,0,1.0
Bhagalpur,0.784433221358076,0,0,1.0
Bharatpur,4307.792799761975,120,4,0.9766476319508026
Bhilwara,4657.1283147786025,39,32,0.9754277518748048
Bidar,3483.669848847732,171,7,0.9813419210068112
Bijnor,2053.4285015596465,59,6,0.9891322180648098
Birbhum,4628.866921302345,86,33,0.9753457208935555
Budaun,1850.2647218159864,45,6,0.9900583743047213
Bulandshahr,2925.9678703866757,91,4,0.9843929442771483
Chamba,1373.0587975779886,49,2,0.9928130275782867
Chandauli,2269.5245448312176,59,4,0.9879864304880049
Chhindwara,0.7950581606264592,0,0,1.0
Chikkaballapura,6243.569045106381,117,29,0.9663620053664139
Chitradurga,6859.2434632776,68,5,0.9627632268341862
Churu,2090.8356495020907,41,21,0.9889020020851746
Cooch Behar,5600.512497678455,72,9,0.9698575836319084
Cuddalore,11838.959102485695,283,12,0.9357194646287701
Cuttack,13787.12713015734,144,4,0.9247299593020486
Darbhanga,0.7874607954789554,0,0,1.0
Deoria,3214.878841594614,93,1,0.9827523246521622
Dhar,0.7949293966522375,0,0,1.0
Dindigul,5262.2936825994075,197,20,0.9718686657528591
Dungarpur,2258.0221184317766,34,8,0.9885500627140082
Erode,6591.896008865888,144,35,0.9647716627944515
Fatehpur,0.7781035011638293,0,0,1.0
Firozabad,0.7878538788882321,0,0,1.0
Ganganagar,3162.1567701676768,42,5,0.9831862950045779
Gaya,0.7767319580442749,0,0,1.0
Ghazipur,0.7950118643444338,0,0,1.0
Gonda,0.7848492889794947,0,0,1.0
Gopalganj,0.7903772523263627,0,0,1.0
Gorakhpur,0.8220851220269335,0,0,1.0
Hanumangarh,0.7737696983361704,0,0,1.0
Hardoi,0.7952141326895762,0,0,1.0
Haveri,5254.6051417245835,190,3,0.9715352495064911
Jaipur,0.8183415865201352,0,0,1.0
Jalaun,0.7736438493539661,0,0,1.0
Jaunpur,0.8227682366719791,0,0,1.0
Jhansi,0.783379341023121,0,0,1.0
Jodhpur,0.8288398744214527,0,0,1.0
Kalahandi,0.7816570593854189,0,0,1.0
Kamrup,0.7847767217013815,0,0,1.0
Kancheepuram,0.8273592469859875,0,0,1.0
Kanpur Nagar,0.8258204990821945,0,0,1.0
Kendujhar,0.7876126173862941,0,0,1.0
Khagaria,0.7746952617721354,0,0,1.0
Khordha,0.7894926520725579,0,0,1.0
Kolar,4663.3297697253465,176,7,0.9750519970574694
Koraput,0.7725710219978028,0,0,1.0
Krishnagiri,0.7832682820745291,0,0,1.0
Kushinagar,0.777187628980946,0,0,1.0
Madurai,0.827552855703039,0,0,1.0
Mathura,0.7759682131367038,0,0,1.0
Mirzapur,0.7770815506039349,0,0,1.0
Munger,0.8064807769982595,0,0,1.0
Nadia,10437.488195649765,291,30,0.9447640418516774
Nagaon,0.7818001020626031,0,0,1.0
Nagapattinam,0.8141254389047231,0,0,1.0
Nalanda,0.8163733110429205,0,0,1.0
Namakkal,0.8186032627155594,0,0,1.0
Nawada,0.7860533525107473,0,0,1.0
Pali,0.815037920352138,0,0,1.0
Pudukkottai,0.8339497275666593,0,0,1.0
Purnia,0.8174944144448131,0,0,1.0
Rae Bareli,0.7905714906853744,0,0,1.0
Ramanagara,0.7947610568979461,0,0,1.0
Ramanathapuram,0.8050987989416614,0,0,1.0
Ratnagiri,5363.862476506869,379,13,0.9724111286933788
Rewa,0.7746766561303976,0,0,1.0
Rohtas,0.7760131918104298,0,0,1.0
Saharanpur,0.7892782250252046,0,0,1.0
Saran,0.7929155093006867,0,0,1.0
Satna,0.7767040982540275,0,0,1.0
Shahjahanpur,0.7845665295159443,0,0,1.0
Sheikhpura,0.7927502147386011,0,0,1.0
Shimla,4853.609344308316,257,27,0.9746021497409408
Siddharthnagar,0.7769191181559759,0,0,1.0
Sitapur,0.8084090779255029,0,0,1.0
Solan,3102.7592051001297,69,16,0.9839404507999344
Sonitpur,0.7774337495983789,0,0,1.0
Sundargarh,0.818090261491556,0,0,1.0
Supaul,0.7845758126353383,0,0,1.0
Surendranagar,1649.9805512437072,12,1,0.9912914851841463
Thanjavur,0.8438106898226059,0,0,1.0
Thiruvallur,0.8332413581198639,0,0,1.0
Thiruvarur,0.7915953221514753,0,0,1.0
Thoothukkudi,0.8000426655641962,0,0,1.0
Tiruchirappalli,0.8197432982293419,0,0,1.0
Tiruppur,0.8183920026568932,0,0,1.0
Tiruvannamalai,0.8489518533655218,0,0,1.0
Tonk,0.777673361874116,0,0,1.0
Udaipur,0.8322102342167748,0,0,1.0
Udupi,0.8091582473377392,0,0,1.0
Unnao,0.7824380214166422,0,0,1.0
Uttar Dinajpur,3100.8265691024126,72,5,0.9835064804475186
Uttara Kannada,0.8345879234221716,0,0,1.0
Varanasi,0.808464831484854,0,0,1.0
Virudhunagar,0.8143704560621995,0,0,1.0
Yavatmal,6655.149163537296,395,40,0.9653352950204548
Alwar,9777.045691522513,78,8,0.9443962255163982
Bankura,5202.936568129217,90,8,0.970881647817182
Barmer,2258.403033812994,50,3,0.9873169518345832
Davanagere,10044.456241820963,264,4,0.9426074208930263
Ganjam,1.00997645617852,0,0,1.0
Hassan,12774.967370346742,393,7,0.9274052277550502
Hooghly,13042.374033898668,458,51,0.9274687356115012
Kangra,3562.65208971349,187,31,0.980778288780808
Lucknow,1.1086830436629227,0,0,1.0
Mandi,4433.369201929694,118,28,0.9759755071366953
Mandya,8868.376081271135,147,15,0.9492942689451874
Mayurbhanj,1.011510620997832,0,0,1.0
Murshidabad,5450.904797824504,147,13,0.9694633056897747
Nagaur,1.0644059031074442,0,0,1.0
New Delhi,1.0937251596034134,0,0,1.0
Paschim Medinipur,9065.219941514117,301,33,0.9491990071605109
Purba Medinipur,9188.348476446356,273,31,0.948638021095193
Salem,1.0391018548876343,0,0,1.0
Sikar,1.0184281278865215,0,0,1.0
