District name,priority_score,deceased,active,recovered
Bengaluru Urban,388386.77760726714,4317,554,0.0
Chennai,225507.35792619342,4005,255,0.4191569254448233
Thane,254457.5375891768,5577,383,0.36685021295792586
Ahmedabad,57634.47266414633,2249,160,0.8607480727639418
Ahmednagar,69033.24816664735,1044,84,0.8242360714901747
Akola,10577.067985861006,347,23,0.9737630527949899
Amravati,20064.1979574101,381,67,0.948847638887046
Amritsar,14510.067985573387,553,23,0.9640134276274762
Ballari,38856.023673178504,597,8,0.8989637374447703
Bathinda,9126.059124370395,206,20,0.9768386694441864
Beed,17071.103430506035,521,35,0.9569572889991641
Belagavi,26259.06798281407,342,23,0.9317340480581687
Bengaluru Rural,18260.070937498906,152,24,0.9526291347672058
Bhandara,12700.109340353913,275,37,0.9682778935077686
Bhopal,39281.46675920625,577,158,0.9025886661270848
Bikaner,18995.020723411177,166,7,0.9502195921291812
Buldhana,13628.115246414056,218,39,0.965809969880717
Chandigarh,19748.195002550434,317,66,0.9494606392718299
Chandrapur,23245.056169629752,389,19,0.940976820093675
Darjeeling,17827.124107694886,198,42,0.9545026337787095
Dehradun,27273.29248098084,845,99,0.9348282404766012
Dharwad,21866.02072355553,608,7,0.9438746400944711
Dhule,15645.067986344102,344,23,0.960009022516486
Durg,22711.324974016756,568,110,0.9452757838311198
East Singhbhum,17916.09161480517,355,31,0.9540037416906604
Faridabad,45498.08865945015,402,30,0.881340639802566
Gurugram,56805.1802292881,343,61,0.852659652102379
Gwalior,15922.082755103918,201,28,0.9591359613624
Hisar,16947.038446521365,319,13,0.9560974962516752
Idukki,16532.561288054207,19,190,0.9641248822428915
Indore,54918.69125474671,873,234,0.8644818023803521
Jabalpur,15514.07389347789,242,25,0.9607281701540462
Jalandhar,19927.124109538356,642,42,0.9498135788873114
Jalna,12807.094571471709,341,32,0.9675507848262502
Jalpaiguri,14363.073893208826,155,25,0.9633075483965131
Jammu,23796.206818641786,355,70,0.9400666074011172
Janjgir Champa,18646.22158620278,217,75,0.951615428503191
Kalaburagi,21083.053213828378,323,18,0.9454296973476455
Kanyakumari,16339.070937676257,256,24,0.9576631682301272
Kasaragod,24160.283620191545,85,96,0.9404460838297929
Koppal,13879.020723785818,279,7,0.9640877307044197
Korba,16013.076847057402,110,26,0.9582682075709528
Latur,23308.130016634208,681,44,0.9409741664123555
Ludhiana,24773.10638603178,964,36,0.9377101383894808
Mahasamund,7959.132971999133,117,45,0.9798638661483142
Mysuru,52394.14182782311,1015,48,0.8648294346331948
Nainital,11324.319067857892,206,108,0.9731925113113167
Nanded,21339.085709584473,663,29,0.9462364164687462
Osmanabad,16854.06798574558,538,23,0.9572571549882575
Puducherry,30472.056168378647,518,19,0.921129937505805
Raigarh,21282.144785053802,284,49,0.9449308052595964
Raigarh,21282.144784727556,284,49,0.9449308052595964
Raipur,52670.41654249447,722,141,0.8725091883715684
Rajnandgaon,18377.34565222624,167,117,0.9548184218557193
S.P.S. Nellore,62094.0532099474,505,18,0.8378600713840275
