District name,priority_score,deceased,active,recovered
Ahmedabad,59302.27630496905,2272,133,0.8583926712362723
Ahmednagar,70173.12257925699,1063,59,0.8224168116955464
Anantapur,67516.01248100052,597,6,0.8257044228807302
Ballari,39013.029098667386,597,14,0.9001140227053909
Bhopal,41112.20152123845,592,97,0.8994277991008645
Chittoor,86630.0664931494,845,32,0.776679877993096
Dakshina Kannada,33289.049875265606,734,24,0.9159963157881004
Dehradun,28349.18490350199,894,89,0.9312080405576415
East Godavari,123983.0394868318,636,19,0.6787325476116548
Faridabad,45894.070646618624,408,34,0.881893872779884
Guntur,75176.0644153208,667,31,0.8064614605864994
Gurugram,57630.116348103475,349,56,0.8524984540399784
Howrah,35107.06649339182,1028,32,0.9119572506177317
Idukki,18935.35940255721,25,173,0.9612766368259419
Indore,56704.1578963746,910,76,0.8601695468054074
Jalgaon,56758.20983174617,1465,101,0.8573594220066431
Kannur,42318.56713941407,220,273,0.8974526231745278
Kolhapur,48890.02702365502,1663,13,0.8771033536243305
Krishna,48240.1018083738,673,49,0.8767641556449067
Kurnool,60696.006248797836,487,3,0.8431783372515049
Palakkad,50610.41756857598,152,201,0.8806336218255635
Patna,50896.297079709555,400,143,0.8725607099152788
Prakasam,62096.010403766195,580,5,0.8396558966959508
S.P.S. Nellore,62237.01247898272,506,6,0.8400524974103539
Sangli,50476.05402922662,1771,26,0.8740662271008749
Satara,55285.07064823257,1793,34,0.8623404138737192
Solapur,54627.12050512826,1784,58,0.8646391324881215
South 24 Parganas,36568.08103294554,696,39,0.9071015010815198
Srikakulam,46032.01455865964,347,7,0.8809519460831765
Thiruvallur,43096.07480291116,682,36,0.8901755219082756
Visakhapatnam,59454.03117731268,556,15,0.8468077556313387
Vizianagaram,41079.006248901445,238,3,0.8935074897523072
Wayanad,19064.430032464814,56,207,0.9579707611341737
West Godavari,94071.01455772168,539,7,0.7564741152803471
Y.S.R. Kadapa,55129.02909813934,462,14,0.8577194937078775
Agra,4968.352573204317,171,14,0.9736625815053607
Ajmer,8034.570612099181,221,25,0.9577515870551614
Aligarh,5385.147507216154,55,8,0.9709463884547445
Azamgarh,0.8154665622110451,0,0,1.0
Ballia,0.819464233862426,0,0,1.0
Bankura,5541.97013827708,91,12,0.9706515471341685
Banswara,1060.9465579037885,34,6,0.9944762913658459
