District name,priority_score,deceased,active,recovered
Agra,3442.010628276172,146,64,0.9782826807554071
Ajmer,4751.10789437101,144,159,0.9693925500704861
Aligarh,4470.552582729912,48,31,0.9706022428529699
Alwar,7177.379963133697,58,99,0.9530728101703095
Azamgarh,2518.4758144925618,86,16,0.9836421595397452
Ballia,3188.239456034465,91,14,0.9794002971843686
Bankura,3799.5814630199447,76,83,0.9771999898398507
Bareilly,5645.7711190994005,154,26,0.9634298124182425
Barmer,0.9353601796052677,0,0,1.0
Bhilwara,0.8892925750318397,0,0,1.0
Birbhum,2980.9023025610136,54,101,0.9823213401236999
Bulandshahr,2168.973731167986,74,30,0.9866108281791742
Chikkaballapura,5274.7979179122585,111,12,0.9650554363149139
Chitradurga,5819.428921044375,60,35,0.9620264417886943
Churu,0.8805686310470456,0,0,1.0
Coimbatore,20475.749161288106,564,238,0.8655018478771638
Cooch Behar,4120.241273544447,54,96,0.9751393845489529
Cuddalore,10864.351657349154,272,50,0.9273581071641753
Cuttack,12187.6324080759,117,69,0.9202269523361993
Dakshina Kannada,14204.103409559322,680,123,0.9106351363365042
Davanagere,9725.429639412865,258,39,0.9362164873823645
Dindigul,4582.275612007086,185,22,0.96959575305757
Erode,4916.594305556426,127,83,0.9693099988569832
Ganjam,9896.318673681677,238,61,0.9337082005105475
Gorakhpur,8890.377413542106,308,29,0.9422363758747253
Hassan,11777.383094021117,375,115,0.9245799413251374
Haveri,4779.570860375106,185,9,0.9684908368153011
Hooghly,8757.70316321831,327,172,0.946513163743507
Howrah,12116.875518050767,753,235,0.9256658072873671
Idukki,3480.658608081856,9,67,0.9812195989281043
Jaipur,0.8889885294418934,0,0,1.0
Jaunpur,2736.3038738520577,85,10,0.9824324667572614
Jodhpur,0.9005308035105164,0,0,1.0
Kancheepuram,12001.540747417439,395,92,0.9207190845705432
Kangra,1475.5925453333984,71,28,0.9911797203418891
Kanpur Nagar,13047.26495889016,734,50,0.9153088050394341
Kolar,3951.7385899628493,154,85,0.974783779321556
Madurai,8776.381592515405,420,41,0.942947586329519
Mandi,1473.8219283921394,43,84,0.9918496551899313
Mandya,7915.475768318591,143,89,0.9490055753819581
Mayurbhanj,5391.376218040747,60,73,0.9660016002235233
Murshidabad,4170.080676588043,99,60,0.9747425037148046
Nadia,5952.460696405603,158,177,0.9663984810576716
Nagapattinam,3169.673930682045,118,33,0.9796701761515895
Nagaur,0.9885216869683756,0,0,1.0
Nalanda,0.888319029036006,0,0,1.0
Namakkal,4314.265076768401,96,61,0.9724056693633396
New Delhi,1.0042055611390606,0,0,1.0
Pali,0.8855293817656057,0,0,1.0
Paschim Medinipur,6893.046718606782,214,146,0.9594610040767599
Pudukkottai,4963.948085476066,149,28,0.9671858926326217
Purba Medinipur,7146.3062128887605,199,137,0.9567304639378199
Purnia,0.8910097020560122,0,0,1.0
Ratnagiri,4666.92075992269,373,2,0.9729200269243958
Salem,12855.713965728155,421,104,0.9176043637841477
Shimla,1272.727355923421,74,89,0.9934244783398316
Sikar,0.9475661652931021,0,0,1.0
Sirmaur,1065.40728505861,18,2,0.9930339475990297
Sitapur,1964.4396260254277,65,-47,0.9874236401275098
Sivaganga,2763.364985258175,126,13,0.9818958838694929
Sundargarh,5258.192377549719,78,67,0.9668302874052248
Thanjavur,7210.217796333032,221,47,0.9523870000889013
Thiruvallur,17795.85111673206,623,116,0.8835011874674558
Thoothukkudi,7054.1888012420495,130,26,0.953628443338117
Tiruchirappalli,5873.452538137936,169,47,0.9616041605811605
Tirunelveli,6651.71236599563,208,29,0.9557747748891908
Tiruppur,6095.13964348822,194,101,0.9622963207559151
Tiruvannamalai,8270.463248669035,262,37,0.9455066739481071
Udaipur,0.907390237495979,0,0,1.0
Udupi,10226.607365041024,183,20,0.9322413289475355
Uttara Kannada,6043.348934287997,156,46,0.9609278756397719
Varanasi,8315.686423471077,339,83,0.9475260036322534
Vellore,8423.694596388967,309,59,0.9447764132132742
Viluppuram,6446.43012189974,108,27,0.9573210226190325
Virudhunagar,7211.038596908961,222,20,0.9518250168277473
Yavatmal,5161.490936576447,322,112,0.967976479254245
Chittoor,79324.91723494223,787,436,0.757439134355275
East Godavari,116785.63621778072,614,394,0.6442645956895566
Guntur,68064.85338353335,625,277,0.7961905790015114
Kolkata,83946.8679169882,2247,877,0.7628462388397109
Lucknow,64022.853384707705,893,277,0.809338447275175
Malappuram,53358.12465331403,156,467,0.8574912051207153
Nagpur,102870.96043697152,2798,293,0.6967036665438981
Nashik,96034.07475855829,1585,609,0.7190401198897624
North 24 Parganas,78852.76755078333,1616,862,0.7760544330001651
Thiruvananthapuram,60330.37584895099,421,654,0.836364444557335
West Godavari,86837.58268985114,501,386,0.7326642451644039
Alappuzha,34678.20062945985,107,760,0.9153056299927609
Ernakulam,48169.52701756613,158,850,0.8859237480790968
Faridabad,26116.362368662943,251,296,0.9222272317403066
Gurugram,31405.779339113124,216,460,0.913191048908419
Kannur,25631.93713999261,112,335,0.9350702955333443
Kollam,35122.59207004359,117,583,0.9078950710575445
Kottayam,24827.472009824425,51,507,0.9383247183733601
Kozhikode,50177.40911342587,142,842,0.8682133377360647
Krishna,40147.20457338386,575,421,0.8839107684882967
Palakkad,27501.351951918026,57,431,0.9335367479901955
South 24 Parganas,25441.905501564434,475,265,0.9292377347947015
Thrissur,42004.61544236308,132,856,0.8984080315980645
Mumbai,259858.71968389134,10323,746,0.2652656244046787
Pune,335680.3485469099,6784,585,0.03434765491052716
Adilabad,0.6903721947593948,0,0,1.0
Aizawl,912.5259710514828,1,33,0.9951263033566593
Alirajpur,504.6401187306036,13,3,0.996707476599906
Ambala,4302.421965397522,111,28,0.9721199151627529
Amroha,1824.1669802509468,46,12,0.9887412844968821
Anantnag,2030.7058392179313,74,11,0.9872902881672361
Anjaw,0.8526037791683903,0,0,1.0
Anuppur,790.1575273702877,14,5,0.9950628024231957
Ariyalur,2095.434286610895,47,9,0.986315548838568
Arwal,983.354759417092,9,6,0.9935832306734909
Ashoknagar,295.78736558474907,16,17,0.9982251489096889
Aurangabad,0.6853346817929633,0,0,1.0
Aurangabad,0.6839995321001687,0,0,1.0
Ayodhya,3382.051878190838,95,11,0.9784795336491446
Bageshwar,450.4452488423666,8,3,0.9973456609812165
Baghpat,749.2554637971633,24,14,0.9954438080239779
Baksa,0.7403086028833737,0,0,1.0
Balrampur,0.6856018881074584,0,0,1.0
Banaskantha,1332.6538892573687,30,31,0.9912940220221237
Bandipora,1939.8736167144384,46,16,0.9877824204015799
Barabanki,3360.1683381558087,80,13,0.9784541332757591
Barnala,989.5318067425115,52,1,0.9939578861809268
Bastar,3086.2346620702297,41,47,0.9804702879132323
Bhadohi,922.4274172400902,18,4,0.9942722158015723
Bhadrak,3239.8507084686466,24,27,0.9790700923303572
Bhind,547.9726384792002,7,15,0.9965137987528416
Bijapur,1634.7489218503183,24,6,0.9893000927113629
Bijapur,1634.7933905340242,24,6,0.9893000927113629
Bilaspur,0.6844424251876186,0,0,1.0
Bilaspur,0.6931806888415327,0,0,1.0
Bishnupur,0.7726295117731719,0,0,1.0
Bokaro,2622.206319486242,46,27,0.983483407206086
Bongaigaon,0.7231808981992942,0,0,1.0
Boudh,1240.3165458223186,9,8,0.992170334903923
Budgam,2889.1454421676167,94,32,0.9818006324692973
Burhanpur,374.7352380604834,26,1,0.9976091898550908
Central Delhi,0.6956645268854851,0,0,1.0
Chamarajanagara,2872.94615256881,113,25,0.981864133402761
Chamoli,890.6022146662664,1,13,0.9948214988760334
Champawat,550.3430810371962,6,3,0.9967106516465792
Champhai,13.620602917217445,0,1,0.9999174487864971
Chandel,0.7569945173820977,0,0,1.0
Changlang,0.7471281709009986,0,0,1.0
Chatra,627.4036309096674,10,3,0.9960026162384588
Chirang,0.7277819203864704,0,0,1.0
Chitrakoot,865.3507786652772,12,12,0.9945833703755446
Chittorgarh,0.6852650797464626,0,0,1.0
Churachandpur,0.7690807168906123,0,0,1.0
Dadra and Nagar Haveli,0.6916103517059461,0,0,1.0
Dahod,0.6845797088293543,0,0,1.0
Dakshin Bastar Dantewada,2229.7069368163293,10,51,0.9857154650173358
Daman,0.7317746566964834,0,0,1.0
Damoh,0.7417521736660779,0,0,1.0
Dang,0.7135448562966058,0,0,1.0
Darrang,0.7368688866071823,0,0,1.0
Datia,0.7184280213584832,0,0,1.0
Deogarh,512.7352597078292,2,5,0.996793202860082
Deoghar,1503.954849150902,19,19,0.9904431095137098
Dewas,0.7155710270024208,0,0,1.0
Dhalai,1560.597404619609,16,11,0.9898684260658631
Dhamtari,2290.1692592734285,69,44,0.9851439566161623
Dhanbad,3075.7112816396493,82,39,0.9809116194008052
Dhemaji,0.7213835542727081,0,0,1.0
Dholpur,0.6875709230327347,0,0,1.0
Dibrugarh,0.7807217470406755,0,0,1.0
Dima Hasao,0.7275039717228166,0,0,1.0
Dimapur,2435.7383452728313,32,39,0.9867314799527553
Dindori,0.7277980108827817,0,0,1.0
Diu,0.8493299271668628,0,0,1.0
Doda,1271.3174652580524,47,7,0.9919290313567609
East Champaran,3676.129613115323,43,14,0.9761522244376992
East Delhi,0.6891140362232869,0,0,1.0
East Garo Hills,99.22588052548998,1,3,0.999504692718983
East Kameng,0.7878012702894098,0,0,1.0
East Siang,0.7492632552524496,0,0,1.0
East Sikkim,0.7109393094732622,0,0,1.0
Etawah,2316.2264132320447,75,14,0.9854551111901345
Faridkot,1548.661486608932,58,6,0.9902430815732991
Fatehabad,1508.3060555254958,60,33,0.9910971691283862
Fatehgarh Sahib,1034.7565055835912,102,2,0.9935387800200663
Ferozepur,2013.0311383283204,126,3,0.987255362653831
Gajapati,1840.351092573334,30,2,0.9879252975018733
Ganderbal,1717.2814727497198,34,21,0.9892969176646896
Gandhinagar,0.7099143881482803,0,0,1.0
Garhwa,1202.235502099948,10,8,0.9922624112574455
Giridih,1569.5736868602753,13,4,0.9897318990589161
Goalpara,0.7237689260992057,0,0,1.0
Godda,934.8207199177415,9,11,0.9939483610409073
Gumla,987.6459727917244,2,12,0.9937610332871893
Guna,0.7114779140317865,0,0,1.0
Hailakandi,0.7254579225711008,0,0,1.0
Hamirpur,0.6888374048325536,0,0,1.0
Hamirpur,0.6983831149634324,0,0,1.0
Harda,0.7272065893602299,0,0,1.0
Hathras,540.3007202758,7,3,0.9965106237061685
Hazaribagh,1925.0420357219148,26,9,0.9874458654542222
Hingoli,1752.314504014026,76,2,0.9902081560598941
Hoshangabad,0.7266852762012848,0,0,1.0
Imphal East,0.7547009550794483,0,0,1.0
Imphal West,0.8484733842577394,0,0,1.0
Jaisalmer,0.724888179302766,0,0,1.0
Jalore,0.68526978947203,0,0,1.0
Jamnagar,0.7097127632653881,0,0,1.0
Jamtara,506.54835132410807,2,6,0.9968503537001994
Jehanabad,1809.9506562459458,14,27,0.9886174576766279
Jhajjar,1785.2673466088588,37,47,0.9894874204650809
Jharsuguda,3079.519915017989,15,35,0.9800511817523717
Jhunjhunu,0.6842340137023479,0,0,1.0
Jind,1366.015065025529,52,34,0.991862355376624
Jorhat,0.7550693861151314,0,0,1.0
Junagadh,0.7022857747061232,0,0,1.0
Kaimur,868.1546260918111,9,2,0.9943706422484411
Kaithal,1425.9930007153384,43,45,0.9910336681949224
Kamrup Metropolitan,0.8082336355876399,0,0,1.0
Kanpur Dehat,886.262964808472,27,1,0.9948945249495168
Kapurthala,1948.8757283304046,167,9,0.9879284725485464
Karaikal,1643.864869438635,55,13,0.989779524759014
Karbi Anglong,0.7043445989573929,0,0,1.0
Kargil,900.7152063417553,38,13,0.9945103443020612
Karimganj,0.7398774345507287,0,0,1.0
Karimnagar,0.6937953667718929,0,0,1.0
Karnal,3984.084085990357,117,29,0.9743995986741005
Kasganj,792.0762032343981,5,15,0.9952501301769135
Katihar,0.709219553582084,0,0,1.0
Katni,0.7161134860107005,0,0,1.0
Kaushambi,930.5253644804229,23,4,0.9941261636546057
Kendrapara,3695.2852913397987,21,43,0.9771396639530601
Khammam,0.7091971976958782,0,0,1.0
Khandwa,0.6884738235665085,0,0,1.0
Khargone,0.6864430778628573,0,0,1.0
Khunti,936.7256663947218,5,13,0.9940309122544101
Kinnaur,188.35252075675987,6,3,0.999180837958318
Kiphire,0.8507601078122335,0,0,1.0
Kishanganj,0.7131319874444991,0,0,1.0
Kishtwar,928.3397541159516,15,23,0.9941198135612593
Kodagu,2332.8947514151296,64,9,0.9851026810094108
Koderma,1564.3404359185115,28,9,0.989814450272419
Kohima,0.7424371395729409,0,0,1.0
Kolasib,0.7808829198608362,0,0,1.0
Koriya,1454.04988147783,23,31,0.9917290034163502
Kota,0.7311260448370489,0,0,1.0
Kulgam,1188.0989641305578,48,3,0.9924814894778953
Kupwara,2150.671038841813,73,6,0.987169636393655
Kurukshetra,3235.1532519451507,104,43,0.9798575039053075
Kurung Kumey,0.7851488949331086,0,0,1.0
Kutch,0.6861530864087803,0,0,1.0
Lahaul and Spiti,194.54498176388404,1,12,0.999044310951371
Lakhimpur,0.7322167091055956,0,0,1.0
Lakhimpur Kheri,3215.9907900507733,73,-155,0.9799273549321175
Lakhisarai,0.7100118586393299,0,0,1.0
Lakshadweep,0.7524009634648209,0,0,1.0
Latehar,818.6869818658558,5,1,0.9946436962623351
Lawngtlai,0.7802554535616312,0,0,1.0
Lohardaga,766.3707350222437,9,6,0.9950977279366007
Lohit,0.7449565295614441,0,0,1.0
Longleng,0.8509144473523043,0,0,1.0
Lower Dibang Valley,0.8120926208757172,0,0,1.0
Lower Subansiri,0.7781466688097126,0,0,1.0
Lunglei,0.7393073668347894,0,0,1.0
Madhepura,0.708683330669248,0,0,1.0
Mahabubnagar,0.6873132331680145,0,0,1.0
Maharajganj,2607.845009081812,87,7,0.9832897293590216
Mahasamund,2136.901773878326,68,25,0.986725129859409
Mahe,479.1442817758567,7,37,0.9972853350944259
Mahendragarh,2423.7971406990127,7,35,0.9857948411841654
Mahoba,511.7955344517641,9,9,0.9967328769732915
Malkangiri,2347.2112205447092,20,30,0.9852201577363188
Mamit,0.8525987507373396,0,0,1.0
Mansa,924.8346094815538,36,11,0.9941960146814158
Medak,0.6949745927887112,0,0,1.0
Mehsana,0.6858025995508217,0,0,1.0
Moga,1178.4408373665283,81,4,0.9924687892912026
Mokokchung,0.7679711074139836,0,0,1.0
Mon,0.7302866477740223,0,0,1.0
Morigaon,0.7275145449646107,0,0,1.0
Mumbai Suburban,0.6822660143947052,0,0,1.0
Muzaffarpur,0.7060605160297708,0,0,1.0
Nalbari,0.7369813097004241,0,0,1.0
Narayanpur,855.372363519783,2,12,0.9948786497161508
Narmada,0.711626355680376,0,0,1.0
Narsinghpur,0.6914543215528712,0,0,1.0
Neemuch,0.7280034976019493,0,0,1.0
Nicobars,0.8518210625130129,0,0,1.0
Nizamabad,0.7009555313963765,0,0,1.0
North and Middle Andaman,0.7341814446798784,0,0,1.0
North Delhi,0.6944422408433223,0,0,1.0
North East Delhi,0.6875616667461032,0,0,1.0
North Goa,0.7161784464220612,0,0,1.0
North Sikkim,0.8431799034756171,0,0,1.0
North Tripura,1229.8566740746085,14,12,0.9922338358373868
North West Delhi,0.6865564697255155,0,0,1.0
Nuapada,2767.9741411729933,18,57,0.9830960515119572
Nuh,615.0184663189602,26,6,0.9960661171719224
Pakur,414.2156108277148,2,0,0.9974123369613533
Palwal,1626.7084252016873,21,18,0.9895159958851395
Panchkula,3441.6914892193663,116,44,0.9781842543085384
Panchmahal,0.6836882777183882,0,0,1.0
Panipat,3835.126708806082,101,21,0.9756219916432771
Panna,0.7106135814403085,0,0,1.0
Papum Pare,0.7683298495800124,0,0,1.0
Pauri Garhwal,1471.1681867813475,30,43,0.9918337799565654
Pauri Garhwal,1471.179061942082,30,43,0.9918337799565654
Perambalur,1028.5853586726018,21,7,0.9932974764729041
Peren,0.8530210772891729,0,0,1.0
Phek,0.7588030437578729,0,0,1.0
Porbandar,0.7076846515469857,0,0,1.0
Pratapgarh,2139.635181012108,56,14,0.9866933793926771
Pratapgarh,2139.639832666518,56,14,0.9866933793926771
Pulwama,2243.935362580875,83,14,0.9859631186578443
Punch,1079.4969476924393,22,6,0.9933355770329824
Rajkot,0.7150381088072635,0,0,1.0
Ramban,767.4500859562334,15,3,0.9951675789634108
Ramgarh,1905.044258636223,24,8,0.9875887425545156
Ranga Reddy,0.6828978992405813,0,0,1.0
Reasi,614.2221345393804,8,8,0.996196294085523
Ribhoi,494.6936352042666,1,11,0.9975266386415881
Rudraprayag,643.6484111037871,3,7,0.996570949592959
Rupnagar,1186.5526001006422,117,2,0.9930021971322979
Sabarkantha,0.6837101155835031,0,0,1.0
Sahibganj,723.5258553026813,9,4,0.9953295063437433
Saiha,0.8516324217437887,0,0,1.0
Samba,1041.4349422426405,25,8,0.9938594597340581
Sant Kabir Nagar,1419.6981786194492,41,4,0.9908463404412045
Saraikela-Kharsawan,1645.2246302216327,11,6,0.989642997752067
Sehore,0.7253258842067277,0,0,1.0
