District name,priority_score,deceased,active,recovered
Agra,4015.1626112753647,161,66,0.976864543793055
Aligarh,4802.776499730981,51,46,0.9710916631519753
Azamgarh,2622.1532801339463,91,8,0.9842746848493369
Ballia,3369.2534424818014,94,26,0.9799984769670557
Bankura,4377.5391787198905,84,49,0.973657387881344
Banswara,760.091051217353,26,21,0.9957179342987019
Bareilly,5967.678168503488,157,45,0.9643141665495103
Barmer,1918.0885411375004,38,34,0.9886387600168706
Bharatpur,3304.509557216623,100,87,0.9803792352031492
Bijnor,1828.8914162266262,54,7,0.98961701579268
Birbhum,3530.1726989011618,66,38,0.9789264960869769
Bulandshahr,2445.4918453455966,82,55,0.9857918599746942
Chandauli,1939.8961718729868,48,14,0.9884249496227564
Chhindwara,1127.5725760903929,38,29,0.9932869394067201
Chikkaballapura,5567.072661909738,113,7,0.9658547729509349
Chitradurga,6209.687699308807,63,18,0.9619388209381883
Churu,1669.8925704833575,33,2,0.9901735085992783
Cooch Behar,4788.338601439127,60,64,0.9709569333145883
Cuddalore,11201.35675208462,275,38,0.9308455175968884
Cuttack,12919.315085126636,136,39,0.9207027039692581
Darbhanga,1759.8893199087283,32,15,0.9896199447021885
Davanagere,9991.700933531756,263,24,0.9387067107174657
Deoria,3015.73697608896,89,11,0.981714817938985
Dhar,1471.738196806474,52,36,0.9915413093397066
Dindigul,4722.091037453966,193,10,0.9711180233375509
Erode,5564.34010073172,139,59,0.966282393739163
Firozabad,1592.9507202936554,63,20,0.9905630535638971
Ganjam,0.9418903149800607,0,0,1.0
Ghazipur,2195.9176972345626,71,13,0.9867701157505038
Gopalganj,2495.2783498810263,13,1,0.9845939359857537
Gorakhpur,9233.902143122952,317,40,0.9440402549322836
Hardoi,2581.5646275742183,99,6,0.9844914241529593
Hassan,12450.354488195639,384,44,0.9241881062842683
Haveri,4891.848449888764,189,25,0.9700431135479638
Jaipur,0.8925331952227281,0,0,1.0
Jaunpur,2844.6211441305204,90,13,0.9828248746426731
Jodhpur,0.9054747533703037,0,0,1.0
Kancheepuram,12724.955842111847,417,86,0.9226445709733352
Kangra,2028.2011455718937,102,15,0.9898747598294203
Kolar,4201.167791720862,167,14,0.9745682787384601
Madurai,9098.656483726418,436,30,0.9449101410562819
Mandi,0.9624513232255876,0,0,1.0
Mandya,8520.898393755722,146,32,0.9481583017011106
Mayurbhanj,0.9430849628452739,0,0,1.0
Munger,0.8782300926212525,0,0,1.0
Murshidabad,4853.288517450792,116,61,0.9710565162378744
Nagapattinam,3476.5437528266557,123,44,0.9793951216083228
Nagaur,0.9891578606196877,0,0,1.0
Nalanda,0.8896784570388728,0,0,1.0
Namakkal,4729.581585807594,101,40,0.9713640517362575
New Delhi,1.0156407821475242,0,0,1.0
Pali,0.8884110636420962,0,0,1.0
Paschim Medinipur,8091.87634500766,245,45,0.9516085571020197
Pudukkottai,5146.9187886465215,154,9,0.968473218051455
Purba Medinipur,8156.323266753548,229,49,0.9516700642016964
Purnia,0.89064253054043,0,0,1.0
Rae Bareli,2122.7304803763286,98,33,0.98780987862599
Ramanathapuram,2878.1692332380844,131,8,0.9824529031351047
Ratnagiri,4860.610435210108,377,23,0.9726322695533999
Shimla,0.938962681043711,0,0,1.0
Sikar,0.9489594671323475,0,0,1.0
Sirmaur,0.9490759511463194,0,0,1.0
Sitapur,2099.392830676408,70,7,0.9874701251230142
Sivaganga,2901.5801344420333,126,15,0.9823591780308356
Sundargarh,0.8927855875258645,0,0,1.0
Thanjavur,7559.3030257816445,226,27,0.953693940672009
Thoothukkudi,7254.243654376518,135,12,0.9551818267022822
Tiruchirappalli,6162.59115266881,172,19,0.9621877782464033
Tirunelveli,6852.843503798148,209,9,0.9579935798303576
Tiruppur,6919.0694886503725,207,72,0.9590128403392849
Tiruvannamalai,8612.275478847348,271,17,0.94720054829186
Udaipur,0.9087254609088621,0,0,1.0
Udupi,10492.028092141789,187,23,0.9351920193073715
Uttara Kannada,6329.564175923949,165,23,0.9614350485027414
Vellore,8890.282150510511,327,38,0.9457976006373308
Viluppuram,6745.111620634648,110,16,0.9583567646094007
Virudhunagar,7360.598954608407,225,20,0.9546692675383102
Yavatmal,5526.0580292917075,344,29,0.9678640048737054
Ahmedabad,47309.94232647561,1968,341,0.8770473077463798
Ahmednagar,60897.80968360128,921,293,0.8378497117953043
Anantapur,66474.12712889837,586,46,0.8081037068278738
Ballari,38077.06080668907,578,22,0.8909274099067435
Chittoor,83094.35925377348,822,130,0.7612850883359108
Coimbatore,47535.42833918612,599,155,0.864637518159239
Dakshina Kannada,31566.127130217712,706,46,0.910993368948873
East Godavari,121624.37030698018,632,134,0.658732250808379
Guntur,72061.45320855231,644,164,0.7955357561272787
Howrah,29822.494660123437,845,179,0.9180637565021791
Jalgaon,54556.19897748857,1380,72,0.8472573691363232
Kanpur Nagar,29786.328857038523,763,119,0.9183507896340035
Kolhapur,48373.07738877364,1668,28,0.8642216130090444
Krishna,44477.461499106874,622,167,0.8773460565162379
Kurnool,60075.058044188845,484,21,0.8259876282862365
Mysuru,50023.27635042671,989,100,0.8583842963587797
Nashik,102375.5830878629,1680,211,0.7120208304044238
Prakasam,61265.17686989818,577,64,0.8239315338113313
S.P.S. Nellore,61141.07185960305,493,26,0.8252173250855241
Salem,29270.19621550883,433,71,0.9173901073152444
Sangli,48219.21555780191,1713,78,0.8672208163456582
Satara,51151.52229370509,1605,189,0.8621450161675805
Solapur,48249.93956508783,1615,340,0.8696664557851821
Srikakulam,45307.18516022386,346,67,0.8696430245091148
Thiruvallur,40358.25700882207,647,93,0.8855265007732321
Visakhapatnam,57706.21279392269,532,77,0.8362124513801021
Vizianagaram,40473.063571055034,234,23,0.8827118187356483
West Godavari,91575.39241336788,518,142,0.7366676039177094
Y.S.R. Kadapa,54046.16581487844,448,60,0.8438159004639393
Mumbai,275717.5950402348,10675,1135,0.262488870143868
Pune,346435.4389277097,7289,770,0.057178171423215685
Kolkata,99915.17768003144,2505,879,0.73495126294578
Nagpur,110969.39456303237,2921,483,0.6930912882515582
North 24 Parganas,94280.81924643891,1888,828,0.7488225783776185
Akola,4436.101054290007,297,30,0.9754235203149163
Alirajpur,530.7435108822875,13,0,0.9969012137401003
Almora,1081.7799708147033,13,5,0.9942241904494119
Ambala,4848.179348262389,118,56,0.9724506771638783
Ambedkar Nagar,862.3279788347776,36,2,0.9950442851117672
Amreli,1526.9877928696667,26,17,0.9922823234453348
Anand,826.7741891736972,16,15,0.9952522376868644
Araria,3330.633908193773,21,13,0.980385093022166
Auraiya,1531.373666950061,42,18,0.9914475842354374
Bahraich,1877.5715944761228,74,10,0.9891630348188762
Baksa,0.7244353722386065,0,0,1.0
Balaghat,1212.508698644846,11,26,0.9929881906368621
Balangir,3794.8803631753194,34,23,0.978059538872487
Banda,1615.7925869954051,34,36,0.9912630629364075
Banka,1550.8555337540474,17,10,0.9909760298045831
Baran,846.3198026655355,26,30,0.9955714888232813
Bargarh,4658.442335416427,36,27,0.9727640704812784
Barpeta,0.7291007835474161,0,0,1.0
Barwani,1111.0543510523903,21,14,0.9936589109142884
Bastar,3421.8091776642964,76,8,0.9801771404470687
Basti,2331.0664923126433,94,11,0.9865885233609822
Bathinda,3912.4041103662794,175,30,0.9783524298233282
Begusarai,3488.6045169272725,32,3,0.9793101832325788
Betul,1373.8954914373105,64,21,0.9922911101738601
Bhadohi,995.930149070736,18,3,0.9943677070153241
Bhadrak,3472.993199315363,27,7,0.9794536997984911
Bhagalpur,4299.540496035943,70,15,0.9749753971601294
Bharuch,1557.6847820537496,17,13,0.9910492525422935
Bhavnagar,2457.8432330309474,68,23,0.9857274239655092
Bhind,638.0602923663489,8,16,0.9963974413046535
Bhiwani,2574.9792951162353,93,63,0.9857537841510848
Bhojpur,2311.5144549567267,40,3,0.9864625802521205
Bidar,3425.727559862968,166,6,0.9801419935329678
Bokaro,2905.4172016225048,52,7,0.983094334317447
Budaun,1656.1948900147759,42,10,0.9904283237265101
Bundi,867.7815696135166,9,36,0.9953752518862177
Buxar,1848.7569432034204,16,1,0.9890341628005062
Cachar,0.7282499771819733,0,0,1.0
Chamba,852.1311537663969,30,4,0.9955627020947561
Chandigarh,8129.858305560064,260,80,0.955137893059656
Chhatarpur,848.2255050418833,30,16,0.9952727400534233
Dakshin Dinajpur,3733.911212746264,57,18,0.9783992923754627
Darrang,0.7240984450224608,0,0,1.0
Dausa,993.570491291188,16,25,0.9946430245091148
Deoghar,1650.79477387424,21,5,0.9903111673461736
Dewas,1038.416299378555,24,26,0.9940777449739913
Dhamtari,2795.8658590049213,85,60,0.9852031491635035
Dharmapuri,2907.8856102803015,50,15,0.9830709030413797
Dhenkanal,2715.7564513139614,23,11,0.9840843057312901
Dhubri,0.7230091470795047,0,0,1.0
Dhule,7131.592581606177,338,20,0.9585471437274474
Dindori,418.12087920863644,1,3,0.9975895074745771
Doda,1437.8087446142845,52,29,0.9920216504990862
Dumka,0.7202203762032754,0,0,1.0
Dungarpur,0.7433821086609329,0,0,1.0
East Khasi Hills,3311.23255546557,91,44,0.9816738132058672
Etah,1112.4887085578532,24,7,0.9937965696611838
Etawah,2540.745867885451,92,25,0.9855429026664793
Farrukhabad,2052.157232466395,65,21,0.9883282956089788
Fatehabad,1977.1420212272726,89,52,0.9898161816392521
Fatehpur,1672.7773312707493,53,11,0.9908149397816205
Gadag,5203.549668967509,141,10,0.9693841089085712
Gadchiroli,3391.844942395634,51,104,0.9817118890294766
Ganganagar,0.74176228383246,0,0,1.0
Gaya,3505.6858093605097,50,7,0.979553282721777
Giridih,0.7130395930630359,0,0,1.0
Golaghat,0.7352986311850094,0,0,1.0
Gonda,2337.3855619478654,59,8,0.9865123717137635
Gumla,0.7151887636817225,0,0,1.0
Gurdaspur,3539.3374863524573,210,12,0.9798754627677023
Gwalior,6785.550596557348,174,88,0.9620735507755752
Hanumangarh,0.7343780055961119,0,0,1.0
Hoshangabad,1541.1254671225306,55,19,0.9911166174609869
Hoshiarpur,3299.4567354931846,242,15,0.9813838511645344
Hyderabad,0.7164430938308028,0,0,1.0
Jabalpur,6701.652356480944,218,77,0.9624953137447866
Jaisalmer,0.7173886241712741,0,0,1.0
Jalaun,1683.5511380182995,41,30,0.9908910914288392
Jalna,5606.387403944326,304,34,0.9681803271006139
Jalpaiguri,5676.186788031256,122,72,0.968259407657341
Jamnagar,0.7129061580832425,0,0,1.0
Jamui,1457.2392230449386,8,14,0.9914387975069122
Jashpur,1176.3830280093216,17,10,0.9937233469234734
Jehanabad,1970.693593586378,15,14,0.9885303903650593
Jhabua,908.7151492817231,20,22,0.994900768545855
Jhajjar,2303.834643419541,48,54,0.9870805801583954
Jhalawar,0.720238046836,0,0,1.0
Jhansi,4503.9988873113525,175,72,0.9747703734945405
Jind,1752.2614487324684,67,19,0.9907387881344017
Kabeerdham,2261.907028234475,54,46,0.9873939734757955
Kalahandi,0.7413271058123234,0,0,1.0
Kamrup,0.7440856237078745,0,0,1.0
Kandhamal,0.7361145325687567,0,0,1.0
Kannauj,1584.5129352859328,43,13,0.9908881625193308
Kanpur Dehat,951.5579887217416,28,2,0.9951057922114438
Karauli,0.7275326457969999,0,0,1.0
Karimganj,0.7251011085224193,0,0,1.0
Karnal,4491.263764624839,124,61,0.9746034256525611
Karur,2290.610206821627,47,25,0.9871069403439712
Kasganj,890.1124552550194,5,1,0.9949564178265148
Kathua,1309.0016943896776,35,6,0.992460986925348
Katihar,3276.4803368641465,11,5,0.9805315384975866
Katni,915.5006641277153,16,12,0.994701602699283
Kaushambi,1038.8586660213855,26,9,0.9941451098926848
Kendrapara,0.7192681652085386,0,0,1.0
Kendujhar,0.7465414047674902,0,0,1.0
Khagaria,0.7352026867392982,0,0,1.0
Khammam,0.711316723489111,0,0,1.0
Kheda,0.7291221302775596,0,0,1.0
Khordha,0.7482478747021876,0,0,1.0
Kishanganj,0.7134689613114853,0,0,1.0
Kodagu,2543.1529092840547,66,10,0.98513578424481
Kohima,1547.621209511163,19,78,0.9919220675758001
Kokrajhar,0.7280724205045832,0,0,1.0
Koppal,6649.840255372769,278,21,0.9610777215427152
Koraput,0.7333420802899251,0,0,1.0
Koriya,1714.6941613841957,30,9,0.9909584563475327
Kota,0.7222710567624763,0,0,1.0
Krishnagiri,3530.0960403909294,112,16,0.9798491025821267
Kulgam,1256.8714025495117,48,6,0.9928124560663574
Kullu,1495.5625602211815,59,110,0.9940513847884156
Kupwara,2467.6480014199656,80,32,0.9869429214115001
Kurukshetra,3615.484179726361,109,48,0.9795825718168611
Kushinagar,2680.6525928518545,58,7,0.9844592061483668
Lakhimpur,0.7203401508766003,0,0,1.0
Lalitpur,1475.7592476724813,45,6,0.991544238249215
Madhubani,0.7284968522160125,0,0,1.0
Mahasamund,2655.8787015682356,87,41,0.9860232438258587
Mahoba,629.2490876811352,9,3,0.9965995360607338
Mainpuri,1652.294911113375,57,11,0.9906128450255401
Malkangiri,0.7261488874826356,0,0,1.0
Mandla,520.0439080813304,9,4,0.9970007966633863
Mandsaur,1095.918755024809,25,8,0.9936999156474061
Mathura,2787.08024727807,101,56,0.9846788743614977
Mau,1413.3556284851763,36,11,0.9917814799193964
Mirzapur,1513.3626509425826,40,24,0.9914212240498618
Moradabad,5268.923003619896,168,25,0.9695393411125169
Morena,1464.0536351239996,25,6,0.9914827311495384
Morigaon,0.7195527561016263,0,0,1.0
Muzaffarnagar,3293.220249506109,87,59,0.9817499648530859
Nabarangapur,0.7242122546449843,0,0,1.0
Nagaon,0.7414516362756476,0,0,1.0
Nainital,4013.3947283310163,162,40,0.9777315010075449
Nalbari,0.7244328336997434,0,0,1.0
Nalgonda,0.720497405108109,0,0,1.0
Nandurbar,3327.7503332096476,151,19,0.9818671212334223
Narmada,0.7111709409998399,0,0,1.0
Navsari,0.7263277600597167,0,0,1.0
Nawada,0.7451653143077854,0,0,1.0
Nayagarh,0.7305615246187712,0,0,1.0
Neemuch,1247.6056201287577,35,27,0.9929413280847275
